blockchain,address,cex_name,distinct_name,added_by,added_date
ethereum,0xb38e8c17e38363af6ebdcb3dae12e0243582891d,Binance,Binance: Hot Wallet,hildobby,2023-04-06
ethereum,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,Binance,Binance_0x1b5b,sankinyue,2023-04-06
ethereum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,Binance,Binance_0xf924,sankinyue,2023-04-06
ethereum,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,Binance,Binance Deposit Funder,sankinyue,2023-04-06
ethereum,0x0639556f03714a74a5feeaf5736a4a64ff70d206,Bitget,Bitget 1,hildobby,2023-04-06
ethereum,0x97b9d2102a9a65a26e1ee82d59e42d1b73b68689,Bitget,Bitget 2,hildobby,2023-04-06
ethereum,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,Bitget,Bitget 3,sankinyue,2023-04-06
ethereum,0xf89d7b9c864f589bbf53a82105107622b35eaa40,Bybit,Bybit 1,hildobby,2023-04-06
ethereum,0xa95b83af96d0b8a90bd507f2bd82ad8f3dbb86bc,Bybit,Bybit Deposit Funder,sankinyue,2023-04-06
,,,,,
,,,,,
