id,signature,abi,type,namespace,name,created_at
0x4641257d,harvest(),"{""name"":""harvest"",""type"":""function"",""inputs"":[],""outputs"":[],""stateMutability"":""nonpayable""}",function_call,compfarmingcontract,CompFarmingContract,2023-09-18 12:34:00.143 UTC
0x8b418713,"callFunction(address,(address,uint256),bytes)","{""name"":""callFunction"",""type"":""function"",""inputs"":[{""name"":""sender"",""type"":""address"",""internalType"":""address""},{""name"":"""",""type"":""tuple"",""components"":[{""name"":""owner"",""type"":""address"",""internalType"":""address""},{""name"":""number"",""type"":""uint256"",""internalType"":""uint256""}],""internalType"":""struct Account.Info""},{""name"":""actionData"",""type"":""bytes"",""internalType"":""bytes""}],""outputs"":[],""stateMutability"":""nonpayable""}",function_call,compfarmingcontract,CompFarmingContract,2023-09-18 12:34:00.143 UTC
0x0693be4a,"flashLoan((uint256,uint256,uint256,bytes))","{""name"":""flashLoan"",""type"":""function"",""inputs"":[{""name"":""params"",""type"":""tuple"",""components"":[{""name"":""marketId"",""type"":""uint256"",""internalType"":""uint256""},{""name"":""loanAmount"",""type"":""uint256"",""internalType"":""uint256""},{""name"":""loanFees"",""type"":""uint256"",""internalType"":""uint256""},{""name"":""actionData"",""type"":""bytes"",""internalType"":""bytes""}],""internalType"":""struct CompFarmingContract.FlashLoanParams""}],""outputs"":[],""stateMutability"":""nonpayable""}",function_call,compfarmingcontract,CompFarmingContract,2023-09-18 12:34:00.143 UTC
0xa3a467fe,"previewAccountProfile(address,address,int256,address,int256,bool)","{""name"":""previewAccountProfile"",""type"":""function"",""inputs"":[{""name"":""compFarmingMath"",""type"":""address"",""internalType"":""contract ICompFarmingMath""},{""name"":""underlying"",""type"":""address"",""internalType"":""address""},{""name"":""deltaPrincipal"",""type"":""int256"",""internalType"":""int256""},{""name"":""cToken"",""type"":""address"",""internalType"":""address""},{""name"":""deltaBorrowLimitPCT"",""type"":""int256"",""internalType"":""int256""},{""name"":""closePosition"",""type"":""bool"",""internalType"":""bool""}],""outputs"":[{""name"":""r"",""type"":""tuple"",""components"":[{""name"":""flashLoanParams"",""type"":""tuple"",""components"":[{""name"":""marketId"",""type"":""uint256"",""internalType"":""uint256""},{""name"":""loanAmount"",""type"":""uint256"",""internalType"":""uint256""},{""name"":""loanFees"",""type"":""uint256"",""internalType"":""uint256""},{""name"":""actionData"",""type"":""bytes"",""internalType"":""bytes""}],""internalType"":""struct CompFarmingContract.FlashLoanParams""}],""internalType"":""struct CompFarmingContract.PreviewAccountProfileReturn""}],""stateMutability"":""view""}",function_call,compfarmingcontract,CompFarmingContract,2023-09-18 12:34:00.143 UTC
0x8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0,"OwnershipTransferred(address,address)","{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""previousOwner"",""type"":""address""},{""indexed"":true,""name"":""newOwner"",""type"":""address""}],""name"":""OwnershipTransferred"",""type"":""event""}",event,dydx,SoloMargin,2023-07-21 11:23:51.850 UTC
0xdd62ed3e,"allowance(address,address)","{""name"":""allowance"",""type"":""function"",""inputs"":[{""name"":""owner"",""type"":""address"",""internalType"":""address""},{""name"":""spender"",""type"":""address"",""internalType"":""address""}],""outputs"":[{""name"":"""",""type"":""uint256"",""internalType"":""uint256""}],""stateMutability"":""view""}",function_call,usdc_mk_v1,FiatTokenV2_1,2023-07-21 11:23:51.850 UTC
0xe94479a9f7e1952cc78f2d6baab678adc1b772d936c6583def489e524cb66692,MinterRemoved(address),"{""name"":""MinterRemoved"",""type"":""event"",""inputs"":[{""name"":""oldMinter"",""type"":""address"",""indexed"":true,""internalType"":""address""}],""anonymous"":false}",event,cadc,FiatTokenV2_1,2023-07-21 11:23:51.850 UTC
0xf9416052,"getAdjustedAccountValues((address,uint256))","{""constant"":true,""inputs"":[{""components"":[{""name"":""owner"",""type"":""address""},{""name"":""number"",""type"":""uint256""}],""name"":""account"",""type"":""tuple""}],""name"":""getAdjustedAccountValues"",""outputs"":[{""components"":[{""name"":""value"",""type"":""uint256""}],""name"":"""",""type"":""tuple""},{""components"":[{""name"":""value"",""type"":""uint256""}],""name"":"""",""type"":""tuple""}],""payable"":false,""stateMutability"":""view"",""type"":""function""}",function_call,dydx,SoloMargin,2023-07-21 11:23:51.850 UTC
0xf2b3abbd,_setInterestRateModel(address),"{""constant"":false,""inputs"":[{""name"":""newInterestRateModel"",""type"":""address""}],""name"":""_setInterestRateModel"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""}",function_call,compound_v2,cErc20,2023-07-21 11:23:51.850 UTC
0x52d84d1e,allMarkets(uint256),"{""name"":""allMarkets"",""type"":""function"",""inputs"":[{""name"":"""",""type"":""uint256"",""internalType"":""uint256""}],""outputs"":[{""name"":"""",""type"":""address"",""internalType"":""contract CToken""}],""payable"":false,""constant"":true,""stateMutability"":""view""}",function_call,compound_v2,Unitroller,2023-07-21 11:23:51.850 UTC
